GOID	TERM
11348	GO:0021533	cell differentiation in hindbrain
11350	GO:0021535	cell migration in hindbrain
11351	GO:0021536	diencephalon development
11352	GO:0021537	telencephalon development
11353	GO:0021538	epithalamus development
11360	GO:0021545	cranial nerve development
11361	GO:0021546	rhombomere development
11363	GO:0021548	pons development
11364	GO:0021549	cerebellum development
11365	GO:0021550	medulla oblongata development
11366	GO:0021551	central nervous system morphogenesis
11368	GO:0021553	olfactory nerve development
11369	GO:0021554	optic nerve development
11370	GO:0021555	midbrain-hindbrain boundary morphogenesis
11371	GO:0021556	central nervous system formation
11374	GO:0021559	trigeminal nerve development
11385	GO:0021570	rhombomere 4 development
11390	GO:0021575	hindbrain morphogenesis
11391	GO:0021576	hindbrain formation
11402	GO:0021587	cerebellum morphogenesis
11403	GO:0021588	cerebellum formation
11406	GO:0021591	ventricular system development
11407	GO:0021592	fourth ventricle development
11408	GO:0021593	rhombomere morphogenesis
11409	GO:0021594	rhombomere formation
11416	GO:0021602	cranial nerve morphogenesis
11417	GO:0021603	cranial nerve formation
11441	GO:0021627	olfactory nerve morphogenesis
11442	GO:0021628	olfactory nerve formation
11445	GO:0021631	optic nerve morphogenesis
11448	GO:0021634	optic nerve formation
11468	GO:0021654	rhombomere boundary formation
11475	GO:0021661	rhombomere 4 morphogenesis
11484	GO:0021670	lateral ventricle development
11489	GO:0021675	nerve development
11492	GO:0021678	third ventricle development
11494	GO:0021680	cerebellar Purkinje cell layer development
11495	GO:0021681	cerebellar granular layer development
11497	GO:0021683	cerebellar granular layer morphogenesis
11498	GO:0021684	cerebellar granular layer formation
11506	GO:0021692	cerebellar Purkinje cell layer morphogenesis
11508	GO:0021694	cerebellar Purkinje cell layer formation
11509	GO:0021695	cerebellar cortex development
11510	GO:0021696	cerebellar cortex morphogenesis
11511	GO:0021697	cerebellar cortex formation
11514	GO:0021700	developmental maturation
11516	GO:0021702	cerebellar Purkinje cell differentiation
11517	GO:0021703	locus ceruleus development
11521	GO:0021707	cerebellar granule cell differentiation
11544	GO:0021730	trigeminal sensory nucleus development
11554	GO:0021742	abducens nucleus development
11556	GO:0021744	dorsal motor nucleus of vagus nerve development
11566	GO:0021754	facial nucleus development
11572	GO:0021761	limbic system development
11578	GO:0021767	mammillary body development
11583	GO:0021772	olfactory bulb development
11588	GO:0021778	oligodendrocyte cell fate specification
11589	GO:0021779	oligodendrocyte cell fate commitment
11590	GO:0021780	glial cell fate specification
11591	GO:0021781	glial cell fate commitment
11592	GO:0021782	glial cell development
11604	GO:0021794	thalamus development
11608	GO:0021798	forebrain dorsal/ventral pattern formation
11656	GO:0021846	cell proliferation in forebrain
11664	GO:0021854	hypothalamus development
11675	GO:0021871	forebrain regionalization
11676	GO:0021872	forebrain generation of neurons
11683	GO:0021879	forebrain neuron differentiation
11686	GO:0021884	forebrain neuron development
11688	GO:0021886	hypothalamus gonadotrophin-releasing hormone neuron differentiation
11690	GO:0021888	hypothalamus gonadotrophin-releasing hormone neuron development
11705	GO:0021903	rostrocaudal neural tube patterning
11714	GO:0021915	neural tube development
11731	GO:0021934	hindbrain tangential cell migration
11749	GO:0021952	central nervous system projection neuron axonogenesis
11750	GO:0021953	central nervous system neuron differentiation
11751	GO:0021954	central nervous system neuron development
11752	GO:0021955	central nervous system neuron axonogenesis
11757	GO:0021960	anterior commissure morphogenesis
11776	GO:0021979	hypothalamus cell differentiation
11780	GO:0021983	pituitary gland development
11781	GO:0021984	adenohypophysis development
11783	GO:0021986	habenula development
11785	GO:0021988	olfactory lobe development
11796	GO:0021999	neural plate anterior/posterior regionalization
11805	GO:0022008	neurogenesis
11807	GO:0022010	central nervous system myelination
11808	GO:0022011	myelination in peripheral nervous system
11823	GO:0022027	interkinetic nuclear migration
11833	GO:0022037	metencephalon development
11835	GO:0022400	regulation of rhodopsin mediated signaling pathway
11837	GO:0022402	cell cycle process
11841	GO:0022406	membrane docking
11842	GO:0022407	regulation of cell-cell adhesion
11843	GO:0022408	negative regulation of cell-cell adhesion
11844	GO:0022409	positive regulation of cell-cell adhesion
11845	GO:0022410	circadian sleep/wake cycle process
11846	GO:0022411	cellular component disassembly
11847	GO:0022412	cellular process involved in reproduction in multicellular organism
11849	GO:0022414	reproductive process
11852	GO:0022600	digestive system process
11855	GO:0022603	regulation of anatomical structure morphogenesis
11856	GO:0022604	regulation of cell morphogenesis
11859	GO:0022607	cellular component assembly
11862	GO:0022610	biological adhesion
11864	GO:0022612	gland morphogenesis
11865	GO:0022613	ribonucleoprotein complex biogenesis
11868	GO:0022616	DNA strand elongation
11869	GO:0022617	extracellular matrix disassembly
11870	GO:0022618	ribonucleoprotein complex assembly
11875	GO:0022624	proteasome accessory complex
11876	GO:0022625	cytosolic large ribosomal subunit
11877	GO:0022626	cytosolic ribosome
11878	GO:0022627	cytosolic small ribosomal subunit
11881	GO:0022803	passive transmembrane transporter activity
11882	GO:0022804	active transmembrane transporter activity
11887	GO:0022821	potassium ion antiporter activity
11888	GO:0022824	transmitter-gated ion channel activity
11890	GO:0022829	wide pore channel activity
11892	GO:0022832	voltage-gated channel activity
11893	GO:0022834	ligand-gated channel activity
11894	GO:0022835	transmitter-gated channel activity
11895	GO:0022836	gated channel activity
11896	GO:0022839	ion gated channel activity
11900	GO:0022843	voltage-gated cation channel activity
11901	GO:0022848	acetylcholine-gated cation-selective channel activity
11906	GO:0022853	active ion transmembrane transporter activity
11909	GO:0022857	transmembrane transporter activity
11927	GO:0022884	macromolecule transmembrane transporter activity
11931	GO:0022890	inorganic cation transmembrane transporter activity
11935	GO:0022898	regulation of transmembrane transporter activity
11936	GO:0022900	electron transport chain
11937	GO:0022904	respiratory electron transport chain
11953	GO:0023041	neuronal signal transduction
11954	GO:0023051	regulation of signaling
11955	GO:0023052	signaling
11956	GO:0023056	positive regulation of signaling
11957	GO:0023057	negative regulation of signaling
11960	GO:0023061	signal release
11961	GO:0030001	metal ion transport
11963	GO:0030003	cellular cation homeostasis
11964	GO:0030004	cellular monovalent inorganic cation homeostasis
11966	GO:0030008	TRAPP complex
11967	GO:0030010	establishment of cell polarity
11968	GO:0030011	maintenance of cell polarity
11969	GO:0030014	CCR4-NOT complex
11970	GO:0030015	CCR4-NOT core complex
11971	GO:0030016	myofibril
11972	GO:0030017	sarcomere
11973	GO:0030018	Z disc
11978	GO:0030027	lamellipodium
11979	GO:0030029	actin filament-based process
11980	GO:0030030	cell projection organization
11981	GO:0030031	cell projection assembly
11986	GO:0030036	actin cytoskeleton organization
11988	GO:0030038	contractile actin filament bundle assembly
11989	GO:0030041	actin filament polymerization
11990	GO:0030042	actin filament depolymerization
11993	GO:0030047	actin modification
11994	GO:0030048	actin filament-based movement
11997	GO:0030054	cell junction
11998	GO:0030055	cell-substrate junction
12000	GO:0030057	desmosome
12003	GO:0030060	L-malate dehydrogenase activity
12007	GO:0030071	regulation of mitotic metaphase/anaphase transition
12008	GO:0030072	peptide hormone secretion
12009	GO:0030073	insulin secretion
12022	GO:0030091	protein repair
12027	GO:0030097	hemopoiesis
12028	GO:0030098	lymphocyte differentiation
12029	GO:0030099	myeloid cell differentiation
12030	GO:0030100	regulation of endocytosis
12033	GO:0030104	water homeostasis
12038	GO:0030111	regulation of Wnt signaling pathway
12042	GO:0030116	glial cell-derived neurotrophic factor receptor binding
12043	GO:0030117	membrane coat
12044	GO:0030118	clathrin coat
12045	GO:0030119	AP-type membrane coat adaptor complex
12046	GO:0030120	vesicle coat
12047	GO:0030121	AP-1 adaptor complex
12048	GO:0030122	AP-2 adaptor complex
12049	GO:0030123	AP-3 adaptor complex
12050	GO:0030124	AP-4 adaptor complex
12051	GO:0030125	clathrin vesicle coat
12052	GO:0030126	COPI vesicle coat
12053	GO:0030127	COPII vesicle coat
12054	GO:0030128	clathrin coat of endocytic vesicle
12056	GO:0030130	clathrin coat of trans-Golgi network vesicle
12057	GO:0030131	clathrin adaptor complex
12058	GO:0030132	clathrin coat of coated pit
12059	GO:0030133	transport vesicle
12060	GO:0030134	COPII-coated ER to Golgi transport vesicle
12061	GO:0030135	coated vesicle
12062	GO:0030136	clathrin-coated vesicle
12063	GO:0030137	COPI-coated vesicle
12064	GO:0030139	endocytic vesicle
12065	GO:0030140	trans-Golgi network transport vesicle
12066	GO:0030141	secretory granule
12070	GO:0030145	manganese ion binding
12071	GO:0030148	sphingolipid biosynthetic process
12072	GO:0030149	sphingolipid catabolic process
12073	GO:0030150	protein import into mitochondrial matrix
12074	GO:0030151	molybdenum ion binding
12077	GO:0030154	cell differentiation
12078	GO:0030155	regulation of cell adhesion
12081	GO:0030158	protein xylosyltransferase activity
12082	GO:0030159	signaling receptor complex adaptor activity
12084	GO:0030162	regulation of proteolysis
12085	GO:0030163	protein catabolic process
12088	GO:0030166	proteoglycan biosynthetic process
12090	GO:0030168	platelet activation
12092	GO:0030170	pyridoxal phosphate binding
12093	GO:0030171	voltage-gated proton channel activity
12095	GO:0030173	integral component of Golgi membrane
12097	GO:0030175	filopodium
12098	GO:0030176	integral component of endoplasmic reticulum membrane
12099	GO:0030177	positive regulation of Wnt signaling pathway
12100	GO:0030178	negative regulation of Wnt signaling pathway
12101	GO:0030182	neuron differentiation
12102	GO:0030183	B cell differentiation
12107	GO:0030193	regulation of blood coagulation
12108	GO:0030194	positive regulation of blood coagulation
12109	GO:0030195	negative regulation of blood coagulation
12112	GO:0030198	extracellular matrix organization
12113	GO:0030199	collagen fibril organization
12115	GO:0030201	heparan sulfate proteoglycan metabolic process
12116	GO:0030202	heparin metabolic process
12117	GO:0030203	glycosaminoglycan metabolic process
12124	GO:0030210	heparin biosynthetic process
12126	GO:0030212	hyaluronan metabolic process
12127	GO:0030213	hyaluronan biosynthetic process
12128	GO:0030214	hyaluronan catabolic process
12129	GO:0030215	semaphorin receptor binding
12130	GO:0030216	keratinocyte differentiation
12131	GO:0030217	T cell differentiation
12132	GO:0030218	erythrocyte differentiation
12133	GO:0030219	megakaryocyte differentiation
12137	GO:0030223	neutrophil differentiation
12138	GO:0030224	monocyte differentiation
12139	GO:0030225	macrophage differentiation
12141	GO:0030228	lipoprotein particle receptor activity
12142	GO:0030229	very-low-density lipoprotein particle receptor activity
12145	GO:0030234	enzyme regulator activity
12147	GO:0030237	female sex determination
12149	GO:0030239	myofibril assembly
12156	GO:0030246	carbohydrate binding
12157	GO:0030247	polysaccharide binding
12159	GO:0030249	guanylate cyclase regulator activity
12160	GO:0030250	guanylate cyclase activator activity
12161	GO:0030251	guanylate cyclase inhibitor activity
12168	GO:0030258	lipid modification
12169	GO:0030259	lipid glycosylation
12170	GO:0030261	chromosome condensation
12171	GO:0030262	apoptotic nuclear changes
12180	GO:0030272	5-formyltetrahydrofolate cyclo-ligase activity
12181	GO:0030273	melanin-concentrating hormone receptor activity
12182	GO:0030274	LIM domain binding
12184	GO:0030276	clathrin binding
12185	GO:0030277	maintenance of gastrointestinal epithelium
12186	GO:0030278	regulation of ossification
12187	GO:0030279	negative regulation of ossification
12190	GO:0030282	bone mineralization
12192	GO:0030284	estrogen receptor activity
12194	GO:0030286	dynein complex
12197	GO:0030289	protein phosphatase 4 complex
12199	GO:0030291	protein serine/threonine kinase inhibitor activity
12203	GO:0030295	protein kinase activator activity
12204	GO:0030296	protein tyrosine kinase activator activity
12206	GO:0030298	receptor signaling protein tyrosine kinase activator activity
12209	GO:0030301	cholesterol transport
12213	GO:0030308	negative regulation of cell growth
12217	GO:0030312	external encapsulating structure
12219	GO:0030314	junctional membrane complex
12221	GO:0030316	osteoclast differentiation
12222	GO:0030317	flagellated sperm motility
12223	GO:0030318	melanocyte differentiation
12225	GO:0030321	transepithelial chloride transport
12229	GO:0030325	adrenal gland development
12230	GO:0030326	embryonic limb morphogenesis
12232	GO:0030328	prenylcysteine catabolic process
12233	GO:0030329	prenylcysteine metabolic process
12234	GO:0030330	DNA damage response, signal transduction by p53 class mediator
12235	GO:0030331	estrogen receptor binding
12236	GO:0030332	cyclin binding
12237	GO:0030334	regulation of cell migration
12238	GO:0030335	positive regulation of cell migration
12239	GO:0030336	negative regulation of cell migration
12240	GO:0030337	DNA polymerase processivity factor activity
12241	GO:0030338	CMP-N-acetylneuraminate monooxygenase activity
12250	GO:0030350	iron-responsive element binding
12254	GO:0030354	melanin-concentrating hormone activity
12255	GO:0030366	molybdopterin synthase activity
12257	GO:0030368	interleukin-17 receptor activity
12260	GO:0030371	translation repressor activity
12263	GO:0030374	nuclear receptor coactivator activity
12287	GO:0030414	peptidase inhibitor activity
12294	GO:0030422	production of siRNA involved in RNA interference
12296	GO:0030424	axon
12297	GO:0030425	dendrite
12298	GO:0030426	growth cone
12299	GO:0030427	site of polarized growth
12303	GO:0030431	sleep
12305	GO:0030433	ubiquitin-dependent ERAD pathway
12325	GO:0030488	tRNA methylation
12326	GO:0030490	maturation of SSU-rRNA
12332	GO:0030496	midbody
12333	GO:0030497	fatty acid elongation
12334	GO:0030500	regulation of bone mineralization
12335	GO:0030501	positive regulation of bone mineralization
12340	GO:0030507	spectrin binding
12341	GO:0030509	BMP signaling pathway
12342	GO:0030510	regulation of BMP signaling pathway
12344	GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway
12345	GO:0030513	positive regulation of BMP signaling pathway
12346	GO:0030514	negative regulation of BMP signaling pathway
12347	GO:0030515	snoRNA binding
12348	GO:0030516	regulation of axon extension
12349	GO:0030517	negative regulation of axon extension
12350	GO:0030518	intracellular steroid hormone receptor signaling pathway
12352	GO:0030520	intracellular estrogen receptor signaling pathway
12354	GO:0030522	intracellular receptor signaling pathway
12358	GO:0030532	small nuclear ribonucleoprotein complex
12360	GO:0030534	adult behavior
12362	GO:0030537	larval behavior
12364	GO:0030539	male genitalia development
12368	GO:0030544	Hsp70 protein binding
12369	GO:0030545	signaling receptor regulator activity
12370	GO:0030546	signaling receptor activator activity
12372	GO:0030548	acetylcholine receptor regulator activity
12375	GO:0030551	cyclic nucleotide binding
12376	GO:0030552	cAMP binding
12377	GO:0030553	cGMP binding
12378	GO:0030554	adenyl nucleotide binding
12395	GO:0030575	nuclear body organization
12396	GO:0030576	Cajal body organization
12400	GO:0030580	quinone cofactor methyltransferase activity
12413	GO:0030593	neutrophil chemotaxis
12414	GO:0030594	neurotransmitter receptor activity
12415	GO:0030595	leukocyte chemotaxis
12425	GO:0030613	oxidoreductase activity, acting on phosphorus or arsenic in donors
12426	GO:0030614	oxidoreductase activity, acting on phosphorus or arsenic in donors, disulfide as acceptor
12431	GO:0030623	U5 snRNA binding
12436	GO:0030628	pre-mRNA 3'-splice site binding
12445	GO:0030641	regulation of cellular pH
12459	GO:0030656	regulation of vitamin metabolic process
12460	GO:0030658	transport vesicle membrane
12461	GO:0030659	cytoplasmic vesicle membrane
12462	GO:0030660	Golgi-associated vesicle membrane
12464	GO:0030662	coated vesicle membrane
12465	GO:0030663	COPI-coated vesicle membrane
12466	GO:0030665	clathrin-coated vesicle membrane
12467	GO:0030666	endocytic vesicle membrane
12468	GO:0030667	secretory granule membrane
12470	GO:0030669	clathrin-coated endocytic vesicle membrane
12471	GO:0030670	phagocytic vesicle membrane
12473	GO:0030672	synaptic vesicle membrane
12475	GO:0030674	protein-macromolecule adaptor activity
12476	GO:0030677	ribonuclease P complex
12480	GO:0030681	multimeric ribonuclease P complex
12483	GO:0030684	preribosome
12485	GO:0030686	90S preribosome
12486	GO:0030687	preribosome, large subunit precursor
12487	GO:0030688	preribosome, small subunit precursor
12493	GO:0030695	GTPase regulator activity
12502	GO:0030705	cytoskeleton-dependent intracellular transport
12516	GO:0030719	P granule organization
12524	GO:0030728	ovulation
12525	GO:0030729	acetoacetate-CoA ligase activity
12527	GO:0030731	guanidinoacetate N-methyltransferase activity
12600	GO:0030832	regulation of actin filament length
12601	GO:0030833	regulation of actin filament polymerization
12602	GO:0030834	regulation of actin filament depolymerization
12603	GO:0030835	negative regulation of actin filament depolymerization
12604	GO:0030836	positive regulation of actin filament depolymerization
12605	GO:0030837	negative regulation of actin filament polymerization
12606	GO:0030838	positive regulation of actin filament polymerization
12619	GO:0030851	granulocyte differentiation
12620	GO:0030852	regulation of granulocyte differentiation
12622	GO:0030854	positive regulation of granulocyte differentiation
12623	GO:0030855	epithelial cell differentiation
12624	GO:0030856	regulation of epithelial cell differentiation
12625	GO:0030857	negative regulation of epithelial cell differentiation
12626	GO:0030858	positive regulation of epithelial cell differentiation
12627	GO:0030859	polarized epithelial cell differentiation
12631	GO:0030863	cortical cytoskeleton
12632	GO:0030864	cortical actin cytoskeleton
12633	GO:0030865	cortical cytoskeleton organization
12634	GO:0030866	cortical actin cytoskeleton organization
12635	GO:0030867	rough endoplasmic reticulum membrane
12638	GO:0030870	Mre11 complex
12642	GO:0030877	beta-catenin destruction complex
12643	GO:0030878	thyroid gland development
12645	GO:0030880	RNA polymerase complex
12647	GO:0030882	lipid antigen binding
12656	GO:0030891	VCB complex
12659	GO:0030894	replisome
12661	GO:0030896	checkpoint clamp complex
12662	GO:0030897	HOPS complex
12664	GO:0030900	forebrain development
12665	GO:0030901	midbrain development
12666	GO:0030902	hindbrain development
12667	GO:0030903	notochord development
12668	GO:0030904	retromer complex
12670	GO:0030906	retromer, cargo-selective complex
12672	GO:0030908	protein splicing
12674	GO:0030910	olfactory placode formation
12678	GO:0030915	Smc5-Smc6 complex
12679	GO:0030916	otic vesicle formation
12680	GO:0030917	midbrain-hindbrain boundary development
12701	GO:0030942	endoplasmic reticulum signal peptide binding
12706	GO:0030947	regulation of vascular endothelial growth factor receptor signaling pathway
12707	GO:0030948	negative regulation of vascular endothelial growth factor receptor signaling pathway
12712	GO:0030953	astral microtubule organization
12714	GO:0030955	potassium ion binding
12715	GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex
12723	GO:0030964	NADH dehydrogenase complex
12725	GO:0030968	endoplasmic reticulum unfolded protein response
12727	GO:0030971	receptor tyrosine kinase binding
12730	GO:0030975	thiamine binding
12731	GO:0030976	thiamine pyrophosphate binding
12738	GO:0030983	mismatched DNA binding
12745	GO:0030990	intraciliary transport particle
12746	GO:0030991	intraciliary transport particle A
12747	GO:0030992	intraciliary transport particle B
12759	GO:0031005	filamin binding
12761	GO:0031010	ISWI-type complex
12762	GO:0031011	Ino80 complex
12763	GO:0031012	extracellular matrix
12766	GO:0031016	pancreas development
12767	GO:0031017	exocrine pancreas development
12768	GO:0031018	endocrine pancreas development
12773	GO:0031023	microtubule organizing center organization
12782	GO:0031032	actomyosin structure organization
12796	GO:0031047	gene silencing by RNA
12799	GO:0031050	dsRNA processing
12804	GO:0031055	chromatin remodeling at centromere
12805	GO:0031056	regulation of histone modification
12806	GO:0031057	negative regulation of histone modification
12807	GO:0031058	positive regulation of histone modification
12809	GO:0031060	regulation of histone methylation
12810	GO:0031061	negative regulation of histone methylation
12811	GO:0031062	positive regulation of histone methylation
12812	GO:0031063	regulation of histone deacetylation
12813	GO:0031064	negative regulation of histone deacetylation
12820	GO:0031071	cysteine desulfurase activity
12821	GO:0031072	heat shock protein binding
12824	GO:0031076	embryonic camera-type eye development
12826	GO:0031078	histone deacetylase activity (H3-K14 specific)
12827	GO:0031080	nuclear pore outer ring
12828	GO:0031082	BLOC complex
12829	GO:0031083	BLOC-1 complex
12830	GO:0031084	BLOC-2 complex
12832	GO:0031086	nuclear-transcribed mRNA catabolic process, deadenylation-independent decay
12833	GO:0031087	deadenylation-independent decapping of nuclear-transcribed mRNA
12836	GO:0031090	organelle membrane
12844	GO:0031098	stress-activated protein kinase signaling cascade
12845	GO:0031099	regeneration
12846	GO:0031100	animal organ regeneration
12847	GO:0031101	fin regeneration
12848	GO:0031102	neuron projection regeneration
12849	GO:0031103	axon regeneration
12851	GO:0031105	septin complex
12855	GO:0031109	microtubule polymerization or depolymerization
12856	GO:0031110	regulation of microtubule polymerization or depolymerization
12858	GO:0031112	positive regulation of microtubule polymerization or depolymerization
12859	GO:0031113	regulation of microtubule polymerization
12862	GO:0031116	positive regulation of microtubule polymerization
12864	GO:0031118	rRNA pseudouridine synthesis
12865	GO:0031119	tRNA pseudouridine synthesis
12868	GO:0031122	cytoplasmic microtubule organization
12869	GO:0031123	RNA 3'-end processing
12870	GO:0031124	mRNA 3'-end processing
12874	GO:0031128	developmental induction
12891	GO:0031145	anaphase-promoting complex-dependent catabolic process
12892	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
12897	GO:0031151	histone methyltransferase activity (H3-K79 specific)
12909	GO:0031163	metallo-sulfur cluster assembly
12913	GO:0031167	rRNA methylation
12918	GO:0031172	ornithine N5-monooxygenase activity
12920	GO:0031174	lifelong otolith mineralization
12921	GO:0031175	neuron projection development
12925	GO:0031201	SNARE complex
12927	GO:0031204	posttranslational protein targeting to membrane, translocation
12931	GO:0031209	SCAR complex
12934	GO:0031213	RSF complex
12935	GO:0031214	biomineral tissue development
12945	GO:0031224	intrinsic component of membrane
12946	GO:0031225	anchored component of membrane
12947	GO:0031226	intrinsic component of plasma membrane
12948	GO:0031227	intrinsic component of endoplasmic reticulum membrane
12949	GO:0031228	intrinsic component of Golgi membrane
12950	GO:0031229	intrinsic component of nuclear inner membrane
12952	GO:0031231	intrinsic component of peroxisomal membrane
12955	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane
12967	GO:0031248	protein acetyltransferase complex
12970	GO:0031251	PAN complex
12971	GO:0031252	cell leading edge
12972	GO:0031253	cell projection membrane
12975	GO:0031256	leading edge membrane
12977	GO:0031258	lamellipodium membrane
12980	GO:0031261	DNA replication preinitiation complex
12981	GO:0031262	Ndc80 complex
12985	GO:0031267	small GTPase binding
12994	GO:0031279	regulation of cyclase activity
12995	GO:0031280	negative regulation of cyclase activity
13005	GO:0031290	retinal ganglion cell axon guidance
13007	GO:0031293	membrane protein intracellular domain proteolysis
13011	GO:0031297	replication fork processing
13014	GO:0031300	intrinsic component of organelle membrane
13015	GO:0031301	integral component of organelle membrane
13018	GO:0031304	intrinsic component of mitochondrial inner membrane
13019	GO:0031305	integral component of mitochondrial inner membrane
13020	GO:0031306	intrinsic component of mitochondrial outer membrane
13021	GO:0031307	integral component of mitochondrial outer membrane
13026	GO:0031312	extrinsic component of organelle membrane
13028	GO:0031314	extrinsic component of mitochondrial inner membrane
13037	GO:0031323	regulation of cellular metabolic process
13038	GO:0031324	negative regulation of cellular metabolic process
13039	GO:0031325	positive regulation of cellular metabolic process
13040	GO:0031326	regulation of cellular biosynthetic process
13041	GO:0031327	negative regulation of cellular biosynthetic process
13042	GO:0031328	positive regulation of cellular biosynthetic process
13043	GO:0031329	regulation of cellular catabolic process
13044	GO:0031330	negative regulation of cellular catabolic process
13045	GO:0031331	positive regulation of cellular catabolic process
13046	GO:0031332	RNAi effector complex
13047	GO:0031333	negative regulation of protein-containing complex assembly
13048	GO:0031334	positive regulation of protein-containing complex assembly
13058	GO:0031344	regulation of cell projection organization
13059	GO:0031345	negative regulation of cell projection organization
13060	GO:0031346	positive regulation of cell projection organization
13061	GO:0031347	regulation of defense response
13062	GO:0031348	negative regulation of defense response
13063	GO:0031349	positive regulation of defense response
13079	GO:0031365	N-terminal protein amino acid modification
13082	GO:0031369	translation initiation factor binding
13096	GO:0031389	Rad17 RFC-like complex
13097	GO:0031390	Ctf18 RFC-like complex
13103	GO:0031396	regulation of protein ubiquitination
13104	GO:0031397	negative regulation of protein ubiquitination
13105	GO:0031398	positive regulation of protein ubiquitination
13106	GO:0031399	regulation of protein modification process
13107	GO:0031400	negative regulation of protein modification process
13108	GO:0031401	positive regulation of protein modification process
13113	GO:0031406	carboxylic acid binding
13117	GO:0031410	cytoplasmic vesicle
13120	GO:0031413	regulation of buoyancy
13121	GO:0031414	N-terminal protein acetyltransferase complex
13124	GO:0031417	NatC complex
13125	GO:0031418	L-ascorbic acid binding
13126	GO:0031419	cobalamin binding
13127	GO:0031420	alkali metal ion binding
13147	GO:0031440	regulation of mRNA 3'-end processing
13148	GO:0031441	negative regulation of mRNA 3'-end processing
13151	GO:0031444	slow-twitch skeletal muscle fiber contraction
13161	GO:0031455	glycine betaine metabolic process
13162	GO:0031456	glycine betaine biosynthetic process
13167	GO:0031461	cullin-RING ubiquitin ligase complex
13168	GO:0031462	Cul2-RING ubiquitin ligase complex
13169	GO:0031463	Cul3-RING ubiquitin ligase complex
13170	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex
13196	GO:0031490	chromatin DNA binding
13197	GO:0031491	nucleosome binding
13203	GO:0031497	chromatin assembly
13209	GO:0031503	protein-containing complex localization
13216	GO:0031510	SUMO activating enzyme complex
13218	GO:0031514	motile cilium
13219	GO:0031515	tRNA (m1A) methyltransferase complex
13223	GO:0031519	PcG protein complex
13230	GO:0031526	brush border membrane
13231	GO:0031527	filopodium membrane
13232	GO:0031528	microvillus membrane
13233	GO:0031529	ruffle organization
13236	GO:0031532	actin cytoskeleton reorganization
13247	GO:0031543	peptidyl-proline dioxygenase activity
13248	GO:0031544	peptidyl-proline 3-dioxygenase activity
13249	GO:0031545	peptidyl-proline 4-dioxygenase activity
13271	GO:0031570	DNA integrity checkpoint signaling
13272	GO:0031571	mitotic G1 DNA damage checkpoint signaling
13273	GO:0031573	mitotic intra-S DNA damage checkpoint signaling
13274	GO:0031577	spindle checkpoint signaling
13276	GO:0031579	membrane raft organization
13277	GO:0031580	membrane raft distribution
13286	GO:0031589	cell-substrate adhesion
13287	GO:0031590	wybutosine metabolic process
13288	GO:0031591	wybutosine biosynthetic process
13290	GO:0031593	polyubiquitin modification-dependent protein binding
13307	GO:0031617	NMS complex
13312	GO:0031623	receptor internalization
13314	GO:0031625	ubiquitin protein ligase binding
13317	GO:0031628	opioid receptor binding
13326	GO:0031638	zymogen activation
13327	GO:0031639	plasminogen activation
13328	GO:0031640	killing of cells of other organism
13329	GO:0031641	regulation of myelination
13331	GO:0031643	positive regulation of myelination
13332	GO:0031644	regulation of nervous system process
13334	GO:0031646	positive regulation of nervous system process
13335	GO:0031647	regulation of protein stability
13349	GO:0031667	response to nutrient levels
13350	GO:0031668	cellular response to extracellular stimulus
13351	GO:0031669	cellular response to nutrient levels
13356	GO:0031674	I band
13360	GO:0031681	G-protein beta-subunit binding
13362	GO:0031683	G-protein beta/gamma-subunit complex binding
13454	GO:0031779	melanocortin receptor binding
13456	GO:0031781	type 3 melanocortin receptor binding
13457	GO:0031782	type 4 melanocortin receptor binding
13511	GO:0031841	neuropeptide Y receptor binding
13513	GO:0031843	type 2 neuropeptide Y receptor binding
13514	GO:0031844	type 4 neuropeptide Y receptor binding
13528	GO:0031858	pituitary adenylate cyclase-activating polypeptide receptor binding
13570	GO:0031901	early endosome membrane
13571	GO:0031902	late endosome membrane
13572	GO:0031903	microbody membrane
13576	GO:0031907	microbody lumen
13597	GO:0031929	TOR signaling
13600	GO:0031932	TORC2 complex
13618	GO:0031957	very long-chain fatty acid-CoA ligase activity
13621	GO:0031960	response to corticosteroid
13626	GO:0031965	nuclear membrane
13627	GO:0031966	mitochondrial membrane
13628	GO:0031967	organelle envelope
13629	GO:0031968	organelle outer membrane
13631	GO:0031970	organelle envelope lumen
13634	GO:0031974	membrane-enclosed lumen
13635	GO:0031975	envelope
13640	GO:0031981	nuclear lumen
13641	GO:0031982	vesicle
13643	GO:0031984	organelle subcompartment
13644	GO:0031985	Golgi cisterna
13652	GO:0031994	insulin-like growth factor I binding
13653	GO:0031995	insulin-like growth factor II binding
13663	GO:0032006	regulation of TOR signaling
13664	GO:0032007	negative regulation of TOR signaling
13665	GO:0032008	positive regulation of TOR signaling
13668	GO:0032011	ARF protein signal transduction
13669	GO:0032012	regulation of ARF protein signal transduction
13676	GO:0032019	mitochondrial cloud
13678	GO:0032021	NELF complex
13680	GO:0032024	positive regulation of insulin secretion
13683	GO:0032027	myosin light chain binding
13695	GO:0032039	integrator complex
